"","Name","Rank","Year","Type","Duration","Genre","Rating","MetaScore","Desc","Director_Stars","Votes","Gross"
"58","Cléo from 5 to 7",58,"-1962","PG","90 min","Comedy, Drama, Music",7.9,87,"Cleo, a singer and hypochondriac, becomes increasingly worried that she might have cancer while awaiting test results from her doctor.","Director:
Agnès Varda
                 | 
    Stars:
Corinne Marchand, 
Antoine Bourseiller, 
Dominique Davray, 
Dorothée Blanck","",""
"59","The Phantom of Liberty",59,"-1974","X","104 min","Comedy",7.8,NA,"A series of surreal sequences that critique morality and society in a stream of consciousness style.","Director:
Luis Buñuel
                 | 
    Stars:
Jean-Claude Brialy, 
Adolfo Celi, 
Michel Piccoli, 
Monica Vitti","",""
"60","Winged Migration",60,"-2001","U","98 min","Documentary",7.9,82,"Documentary on the migratory patterns of birds, shot over the course of three years on all seven continents.","Directors:
Jacques Perrin, 
Jacques Cluzaud, 
Michel Debats
                 | 
    Stars:
Jacques Perrin, 
Philippe Labro","",""
"61","Diary of a Country Priest",61,"-1951","PG","115 min","Drama",7.8,NA,"A young priest taking over the parish at Ambricourt tries to fulfill his duties even as he fights a mysterious stomach ailment.","Director:
Robert Bresson
                 | 
    Stars:
Claude Laydu, 
Nicole Ladmiral, 
Jean Riveyre, 
Adrien Borel","",""
"62","My Night at Maud's",62,"-1969","A","110 min","Comedy, Drama, Romance",7.8,NA,"A devout Catholic man's rigid principles are challenged during a one-night stay with Maud, a divorced woman with an outsize personality.","Director:
Éric Rohmer
                 | 
    Stars:
Jean-Louis Trintignant, 
Françoise Fabian, 
Marie-Christine Barrault, 
Antoine Vitez","",""
"63","Faces, Places",63,"-2017","12A","94 min","Documentary",7.8,94,"Director Agnes Varda and photographer/muralist J.R. journey through rural France and form an unlikely friendship.","Directors:
JR, 
Agnès Varda
                 | 
    Stars:
Agnès Varda, 
JR, 
Jeannine Carpentier, 
Clemens Van Dungern","",""
"64","Le Corbeau",64,"-1943","PG","92 min","Crime, Drama, Mystery",7.8,NA,"A French village doctor becomes the target of poison-pen letters sent to village leaders, accusing him of affairs and practicing abortion.","Director:
Henri-Georges Clouzot
                 | 
    Stars:
Pierre Fresnay, 
Ginette Leclerc, 
Micheline Francey, 
Héléna Manson","",""
"65","Les Tontons Flingueurs",65,"-1963","15","105 min","Action, Comedy, Crime",7.7,NA,"A dying mob boss hands over his business to an old friend, Fernand. The boss' assistants want to get rid of the latter. But are the Volfoni brothers and Théo real threats? Ensuing fights and shootouts are more comical than deadly.","Director:
Georges Lautner
                 | 
    Stars:
Lino Ventura, 
Bernard Blier, 
Francis Blanche, 
Claude Rich","",""
"66","The King and the Mockingbird",66,"-1980","U","83 min","Animation, Family, Fantasy",7.7,87,"A chimney sweep and a shepherdess seek to escape from the clutches of a tyrannical king.","Director:
Paul Grimault
                 | 
    Stars:
Jean Martin, 
Pascal Mazzotti, 
Raymond Bussières, 
Agnès Viala","",""
"67","The Triplets of Belleville",67,"-2003","12","80 min","Animation, Adventure, Comedy",7.7,91,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.","Director:
Sylvain Chomet
                 | 
    Stars:
Michèle Caucheteux, 
Jean-Claude Donda, 
Michel Robin, 
Monica Viegas","",""
